"date","nga_newcases","uk_newcases","usa_newcases","sa_newcases","uae_newcases","gh_newcases"
2020-02-28,1,19,8,0,8,0
2020-03-01,0,317,378,1,24,0
2020-03-08,1,1895,2575,37,40,3
2020-03-15,20,5506,23047,202,68,16
2020-03-22,67,16331,101392,947,315,122
2020-03-29,125,29305,193788,398,1037,64
2020-04-05,104,32801,223023,443,2231,203
2020-04-12,224,30980,119198,1006,2566,426
2020-04-19,640,33845,207106,1327,3511,445
2020-04-26,1206,31772,193294,1975,3786,890
2020-05-03,1763,23911,176175,3084,3818,2094
2020-05-10,1470,19871,157187,4935,5210,1472
2020-05-17,1905,16793,154820,6988,6077,882
2020-05-24,2329,9647,147692,9624,5192,1151
2020-05-31,2378,8751,145497,15006,4372,1694
2020-06-07,3449,6987,146764,19763,3722,1656
2020-06-14,4126,6799,181795,26945,2543,2599
2020-06-21,4269,5172,258932,39119,2827,2714
2020-06-28,4090,2601,339299,56177,3497,2957
2020-07-05,3820,3863,401840,76207,3596,4860
2020-07-12,4120,5112,464739,86695,2258,2812
2020-07-19,3870,4676,467032,83321,1851,4791
2020-07-26,3560,5270,439960,69090,2198,5163
2020-08-02,2603,5834,375616,49898,1540,3519
2020-08-09,2630,7372,365021,30465,1802,1677
2020-08-16,3135,6953,300711,23392,2515,1115
2020-08-23,1822,8342,291095,15506,2711,793
2020-08-30,1178,10713,289678,14333,4143,659
2020-09-06,1272,19328,240779,11330,5378,657
2020-09-13,968,24270,283329,11442,5393,443
2020-09-20,1053,37312,309477,9842,6376,345
2020-09-27,1089,43931,305078,10218,7142,581
2020-10-04,816,108555,340704,11180,7373,202
2020-10-11,1204,113627,390890,11235,9254,227
2020-10-18,623,141788,485172,10281,9377,458
2020-10-25,923,158793,567112,11206,8865,365
2020-11-01,937,156819,810930,10454,8403,849
2020-11-08,1206,171094,1038315,13276,8103,1114
2020-11-15,1232,156089,1209999,16227,8650,699
2020-11-22,1102,115931,1160845,19730,8717,662
2020-11-29,1607,101439,1376374,25310,8774,717
2020-12-06,3820,119423,1518464,42516,8479,837
2020-12-13,5176,168175,1538697,59512,8649,720
2020-12-20,5643,244636,1335266,82434,8488,633
2020-12-27,5587,320932,1466457,93978,10749,778
2021-01-03,9900,415571,1724921,125287,16061,708
2021-01-10,9880,358677,1566579,111483,22106,1209
2021-01-17,11659,267949,1224025,79180,24568,3134
2021-01-24,9955,189046,1058808,44397,26285,5312
2021-01-31,8685,139068,848285,22374,22741,4619
2021-02-07,6422,102344,662483,16363,22203,5790
2021-02-14,5889,81513,472595,12304,22570,3819
2021-02-21,3864,67826,482599,9858,20419,2931
2021-02-28,2820,44227,425254,7981,19642,3506
2021-03-07,2300,40984,378970,8208,16169,1388
2021-03-14,1114,37400,387092,8387,14233,1796
2021-03-21,838,39632,432603,7665,14431,1011
2021-03-28,624,28357,457331,7035,14954,387
2021-04-04,623,11794,479808,6026,13914,586
2021-04-11,471,18273,476294,8153,13287,403
2021-04-18,477,17435,417350,8690,13701,265
2021-04-25,426,15458,349185,8472,13023,673
2021-05-02,260,14421,294914,9784,121497,255
2021-05-09,332,15782,237506,18517,10486,387
2021-05-16,277,15829,181485,21428,9585,340
2021-05-23,306,19788,147226,26499,12747,192
2021-05-30,471,28314,102818,32421,13934,413
2021-06-06,303,44948,100682,47934,14820,305
2021-06-13,147,59987,81551,70739,14162,420
2021-06-20,259,89067,86812,103697,14635,346
2021-06-27,338,155598,90446,132450,13063,808
2021-07-04,737,203614,133808,132986,10825,1063
2021-07-11,666,275668,223745,104583,10747,1305
2021-07-18,1566,307436,362898,84225,10659,2312
2021-07-25,3013,193580,550968,79349,10750,2272
2021-08-02,3707,183636,779139,76034,10696,3731
2021-08-08,4347,198129,906547,71959,9033,3556
2021-08-15,3609,217604,1043407,84778,7715,3651
2021-08-22,5412,237534,1090303,76966,7092,3679
2021-08-29,4069,238822,1155844,56823,6898,2816
2021-09-05,3734,264128,1027715,40220,5974,2327
2021-09-12,2844,202735,1032864,26115,4033,2226
2021-09-19,2571,230383,842797,15627,2297,1616
2021-09-26,1863,240329,756912,9637,1928,861
2021-10-03,1554,239861,660876,5884,1131,886
2021-10-10,1555,280682,598748,4682,832,890
2021-10-17,1122,328718,510726,3153,703,547
2021-10-24,1592,289763,505859,2554,634,272
2021-10-31,740,263294,513346,1865,538,314
2021-11-07,267,125044,321844,871,285,217
