,"country","date","new_cases","epiweek"
"1","United Kingdom",2020-02-27,7,1
"2","United Kingdom",2020-02-28,12,1
"3","United Kingdom",2020-02-29,5,1
"4","United Kingdom",2020-03-01,33,2
"5","United Kingdom",2020-03-02,40,2
"6","United Kingdom",2020-03-03,55,2
"7","United Kingdom",2020-03-04,56,2
"8","United Kingdom",2020-03-05,49,2
"9","United Kingdom",2020-03-06,79,2
"10","United Kingdom",2020-03-07,55,2
"11","United Kingdom",2020-03-08,54,3
"12","United Kingdom",2020-03-09,147,3
"13","United Kingdom",2020-03-10,259,3
"14","United Kingdom",2020-03-11,412,3
"15","United Kingdom",2020-03-12,489,3
"16","United Kingdom",2020-03-13,479,3
"17","United Kingdom",2020-03-14,364,3
"18","United Kingdom",2020-03-15,443,4
"19","United Kingdom",2020-03-16,615,4
"20","United Kingdom",2020-03-17,768,4
"21","United Kingdom",2020-03-18,999,4
"22","United Kingdom",2020-03-19,1060,4
"23","United Kingdom",2020-03-20,1257,4
"24","United Kingdom",2020-03-21,1215,4
"25","United Kingdom",2020-03-22,1376,5
"26","United Kingdom",2020-03-23,2339,5
"27","United Kingdom",2020-03-24,2371,5
"28","United Kingdom",2020-03-25,2703,5
"29","United Kingdom",2020-03-26,3104,5
"30","United Kingdom",2020-03-27,3223,5
"31","United Kingdom",2020-03-28,2831,5
"32","United Kingdom",2020-03-29,2868,6
"33","United Kingdom",2020-03-30,4306,6
"34","United Kingdom",2020-03-31,4515,6
"35","United Kingdom",2020-04-01,4945,6
"36","United Kingdom",2020-04-02,4886,6
"37","United Kingdom",2020-04-03,4954,6
"38","United Kingdom",2020-04-04,4050,6
"39","United Kingdom",2020-04-05,3641,7
"40","United Kingdom",2020-04-06,5289,7
"41","United Kingdom",2020-04-07,5462,7
"42","United Kingdom",2020-04-08,5145,7
"43","United Kingdom",2020-04-09,4862,7
"44","United Kingdom",2020-04-10,4352,7
"45","United Kingdom",2020-04-11,3586,7
"46","United Kingdom",2020-04-12,3519,8
"47","United Kingdom",2020-04-13,4188,8
"48","United Kingdom",2020-04-14,4329,8
"49","United Kingdom",2020-04-15,5072,8
"50","United Kingdom",2020-04-16,5308,8
"51","United Kingdom",2020-04-17,4978,8
"52","United Kingdom",2020-04-18,4730,8
"53","United Kingdom",2020-04-19,3856,9
"54","United Kingdom",2020-04-20,4858,9
"55","United Kingdom",2020-04-21,4768,9
"56","United Kingdom",2020-04-22,5492,9
"57","United Kingdom",2020-04-23,5166,9
"58","United Kingdom",2020-04-24,4975,9
"59","United Kingdom",2020-04-25,3750,9
"60","United Kingdom",2020-04-26,3468,10
"61","United Kingdom",2020-04-27,4702,10
"62","United Kingdom",2020-04-28,4726,10
"63","United Kingdom",2020-04-29,5442,10
"64","United Kingdom",2020-04-30,4956,10
"65","United Kingdom",2020-05-01,4728,10
"66","United Kingdom",2020-05-02,3226,10
"67","United Kingdom",2020-05-03,2975,11
"68","United Kingdom",2020-05-04,3378,11
"69","United Kingdom",2020-05-05,3685,11
"70","United Kingdom",2020-05-06,3831,11
"71","United Kingdom",2020-05-07,3767,11
"72","United Kingdom",2020-05-08,3049,11
"73","United Kingdom",2020-05-09,2150,11
"74","United Kingdom",2020-05-10,2321,12
"75","United Kingdom",2020-05-11,3584,12
"76","United Kingdom",2020-05-12,3390,12
"77","United Kingdom",2020-05-13,3299,12
"78","United Kingdom",2020-05-14,2610,12
"79","United Kingdom",2020-05-15,2517,12
"80","United Kingdom",2020-05-16,2070,12
"81","United Kingdom",2020-05-17,1826,13
"82","United Kingdom",2020-05-18,2575,13
"83","United Kingdom",2020-05-19,3041,13
"84","United Kingdom",2020-05-20,2709,13
"85","United Kingdom",2020-05-21,2542,13
"86","United Kingdom",2020-05-22,2030,13
"87","United Kingdom",2020-05-23,1507,13
"88","United Kingdom",2020-05-24,1348,14
"89","United Kingdom",2020-05-25,1608,14
"90","United Kingdom",2020-05-26,1650,14
"91","United Kingdom",2020-05-27,1803,14
"92","United Kingdom",2020-05-28,1734,14
"93","United Kingdom",2020-05-29,1504,14
"94","United Kingdom",2020-05-30,1099,14
"95","United Kingdom",2020-05-31,1069,15
"96","United Kingdom",2020-06-01,1434,15
"97","United Kingdom",2020-06-02,1467,15
"98","United Kingdom",2020-06-03,1343,15
"99","United Kingdom",2020-06-04,1234,15
"100","United Kingdom",2020-06-05,1105,15
"101","United Kingdom",2020-06-06,793,15
"102","United Kingdom",2020-06-07,717,16
"103","United Kingdom",2020-06-08,1087,16
"104","United Kingdom",2020-06-09,1154,16
"105","United Kingdom",2020-06-10,1182,16
"106","United Kingdom",2020-06-11,1001,16
"107","United Kingdom",2020-06-12,1053,16
"108","United Kingdom",2020-06-13,887,16
"109","United Kingdom",2020-06-14,807,17
"110","United Kingdom",2020-06-15,1029,17
"111","United Kingdom",2020-06-16,1077,17
"112","United Kingdom",2020-06-17,999,17
"113","United Kingdom",2020-06-18,1020,17
"114","United Kingdom",2020-06-19,980,17
"115","United Kingdom",2020-06-20,666,17
"116","United Kingdom",2020-06-21,622,18
"117","United Kingdom",2020-06-22,892,18
"118","United Kingdom",2020-06-23,882,18
"119","United Kingdom",2020-06-24,775,18
"120","United Kingdom",2020-06-25,697,18
"121","United Kingdom",2020-06-26,638,18
"122","United Kingdom",2020-06-27,633,18
"123","United Kingdom",2020-06-28,395,19
"124","United Kingdom",2020-06-29,604,19
"125","United Kingdom",2020-06-30,403,19
"126","United Kingdom",2020-07-01,60,19
"127","United Kingdom",2020-07-02,4,19
"128","United Kingdom",2020-07-03,502,19
"129","United Kingdom",2020-07-04,624,19
"130","United Kingdom",2020-07-05,516,20
"131","United Kingdom",2020-07-06,358,20
"132","United Kingdom",2020-07-07,581,20
"133","United Kingdom",2020-07-08,630,20
"134","United Kingdom",2020-07-09,642,20
"135","United Kingdom",2020-07-10,512,20
"136","United Kingdom",2020-07-11,820,20
"137","United Kingdom",2020-07-12,650,21
"138","United Kingdom",2020-07-13,534,21
"139","United Kingdom",2020-07-14,1240,21
"140","United Kingdom",2020-07-15,538,21
"141","United Kingdom",2020-07-16,643,21
"142","United Kingdom",2020-07-17,687,21
"143","United Kingdom",2020-07-18,827,21
"144","United Kingdom",2020-07-19,726,22
"145","United Kingdom",2020-07-20,580,22
"146","United Kingdom",2020-07-21,445,22
"147","United Kingdom",2020-07-22,560,22
"148","United Kingdom",2020-07-23,769,22
"149","United Kingdom",2020-07-24,769,22
"150","United Kingdom",2020-07-25,767,22
"151","United Kingdom",2020-07-26,745,23
"152","United Kingdom",2020-07-27,685,23
"153","United Kingdom",2020-07-28,550,23
"154","United Kingdom",2020-07-29,797,23
"155","United Kingdom",2020-07-30,846,23
"156","United Kingdom",2020-07-31,880,23
"157","United Kingdom",2020-08-01,761,23
"158","United Kingdom",2020-08-02,743,24
"159","United Kingdom",2020-08-03,942,24
"160","United Kingdom",2020-08-04,674,24
"161","United Kingdom",2020-08-05,892,24
"162","United Kingdom",2020-08-06,951,24
"163","United Kingdom",2020-08-07,871,24
"164","United Kingdom",2020-08-08,758,24
"165","United Kingdom",2020-08-09,1062,25
"166","United Kingdom",2020-08-10,818,25
"167","United Kingdom",2020-08-11,1148,25
"168","United Kingdom",2020-08-12,1013,25
"169","United Kingdom",2020-08-13,1129,25
"170","United Kingdom",2020-08-14,1444,25
"171","United Kingdom",2020-08-15,1012,25
"172","United Kingdom",2020-08-16,1105,26
"173","United Kingdom",2020-08-17,715,26
"174","United Kingdom",2020-08-18,1089,26
"175","United Kingdom",2020-08-19,816,26
"176","United Kingdom",2020-08-20,1182,26
"177","United Kingdom",2020-08-21,1034,26
"178","United Kingdom",2020-08-22,1288,26
"179","United Kingdom",2020-08-23,1041,27
"180","United Kingdom",2020-08-24,974,27
"181","United Kingdom",2020-08-25,1188,27
"182","United Kingdom",2020-08-26,1051,27
"183","United Kingdom",2020-08-27,1522,27
"184","United Kingdom",2020-08-28,1278,27
"185","United Kingdom",2020-08-29,1108,27
"186","United Kingdom",2020-08-30,1715,28
"187","United Kingdom",2020-08-31,1406,28
"188","United Kingdom",2020-09-01,1300,28
"189","United Kingdom",2020-09-02,1509,28
"190","United Kingdom",2020-09-03,1735,28
"191","United Kingdom",2020-09-04,1940,28
"192","United Kingdom",2020-09-05,1813,28
"193","United Kingdom",2020-09-06,2983,29
"194","United Kingdom",2020-09-07,2950,29
"195","United Kingdom",2020-09-08,2461,29
"196","United Kingdom",2020-09-09,2661,29
"197","United Kingdom",2020-09-10,2919,29
"198","United Kingdom",2020-09-11,3541,29
"199","United Kingdom",2020-09-12,3497,29
"200","United Kingdom",2020-09-13,3330,30
"201","United Kingdom",2020-09-14,2621,30
"202","United Kingdom",2020-09-15,3109,30
"203","United Kingdom",2020-09-16,3991,30
"204","United Kingdom",2020-09-17,3400,30
"205","United Kingdom",2020-09-18,4322,30
"206","United Kingdom",2020-09-19,4422,30
"207","United Kingdom",2020-09-20,3899,31
"208","United Kingdom",2020-09-21,4376,31
"209","United Kingdom",2020-09-22,4926,31
"210","United Kingdom",2020-09-23,6180,31
"211","United Kingdom",2020-09-24,6635,31
"212","United Kingdom",2020-09-25,6874,31
"213","United Kingdom",2020-09-26,6041,31
"214","United Kingdom",2020-09-27,5692,32
"215","United Kingdom",2020-09-28,4052,32
"216","United Kingdom",2020-09-29,7143,32
"217","United Kingdom",2020-09-30,7109,32
"218","United Kingdom",2020-10-01,6914,32
"219","United Kingdom",2020-10-02,6980,32
"220","United Kingdom",2020-10-03,12872,32
"221","United Kingdom",2020-10-04,22961,33
"222","United Kingdom",2020-10-05,12601,33
"223","United Kingdom",2020-10-06,14551,33
"224","United Kingdom",2020-10-07,14165,33
"225","United Kingdom",2020-10-08,17541,33
"226","United Kingdom",2020-10-09,13864,33
"227","United Kingdom",2020-10-10,15165,33
"228","United Kingdom",2020-10-11,12872,34
"229","United Kingdom",2020-10-12,14010,34
"230","United Kingdom",2020-10-13,17236,34
"231","United Kingdom",2020-10-14,19728,34
"232","United Kingdom",2020-10-15,18981,34
"233","United Kingdom",2020-10-16,15635,34
"234","United Kingdom",2020-10-17,16171,34
"235","United Kingdom",2020-10-18,16981,35
"236","United Kingdom",2020-10-19,18822,35
"237","United Kingdom",2020-10-20,21331,35
"238","United Kingdom",2020-10-21,26694,35
"239","United Kingdom",2020-10-22,21247,35
"240","United Kingdom",2020-10-23,20542,35
"241","United Kingdom",2020-10-24,23012,35
"242","United Kingdom",2020-10-25,19790,36
"243","United Kingdom",2020-10-26,20891,36
"244","United Kingdom",2020-10-27,22911,36
"245","United Kingdom",2020-10-28,24711,36
"246","United Kingdom",2020-10-29,23068,36
"247","United Kingdom",2020-10-30,24410,36
"248","United Kingdom",2020-10-31,21915,36
"249","United Kingdom",2020-11-01,23254,37
"250","United Kingdom",2020-11-02,18954,37
"251","United Kingdom",2020-11-03,20052,37
"252","United Kingdom",2020-11-04,25191,37
"253","United Kingdom",2020-11-05,24150,37
"254","United Kingdom",2020-11-06,23303,37
"255","United Kingdom",2020-11-07,24957,37
"256","United Kingdom",2020-11-08,20572,38
"257","United Kingdom",2020-11-09,21380,38
"258","United Kingdom",2020-11-10,20433,38
"259","United Kingdom",2020-11-11,22964,38
"260","United Kingdom",2020-11-12,33487,38
"261","United Kingdom",2020-11-13,27301,38
"262","United Kingdom",2020-11-14,26860,38
"263","United Kingdom",2020-11-15,24962,39
"264","United Kingdom",2020-11-16,21406,39
"265","United Kingdom",2020-11-17,20051,39
"266","United Kingdom",2020-11-18,19631,39
"267","United Kingdom",2020-11-19,22926,39
"268","United Kingdom",2020-11-20,20253,39
"269","United Kingdom",2020-11-21,19889,39
"270","United Kingdom",2020-11-22,18662,40
"271","United Kingdom",2020-11-23,15450,40
"272","United Kingdom",2020-11-24,11329,40
"273","United Kingdom",2020-11-25,18236,40
