,"country","date","new_cases","epiweek"
"1","Ghana",2020-03-14,3,3
"2","Ghana",2020-03-15,3,4
"3","Ghana",2020-03-16,0,4
"4","Ghana",2020-03-17,1,4
"5","Ghana",2020-03-18,0,4
"6","Ghana",2020-03-19,4,4
"7","Ghana",2020-03-20,5,4
"8","Ghana",2020-03-21,3,4
"9","Ghana",2020-03-22,4,5
"10","Ghana",2020-03-23,4,5
"11","Ghana",2020-03-24,26,5
"12","Ghana",2020-03-25,40,5
"13","Ghana",2020-03-26,39,5
"14","Ghana",2020-03-27,5,5
"15","Ghana",2020-03-28,4,5
"16","Ghana",2020-03-29,11,6
"17","Ghana",2020-03-30,0,6
"18","Ghana",2020-03-31,9,6
"19","Ghana",2020-04-01,34,6
"20","Ghana",2020-04-02,9,6
"21","Ghana",2020-04-03,1,6
"22","Ghana",2020-04-04,0,6
"23","Ghana",2020-04-05,9,7
"24","Ghana",2020-04-06,0,7
"25","Ghana",2020-04-07,73,7
"26","Ghana",2020-04-08,26,7
"27","Ghana",2020-04-09,65,7
"28","Ghana",2020-04-10,0,7
"29","Ghana",2020-04-11,30,7
"30","Ghana",2020-04-12,158,8
"31","Ghana",2020-04-13,0,8
"32","Ghana",2020-04-14,70,8
"33","Ghana",2020-04-15,0,8
"34","Ghana",2020-04-16,5,8
"35","Ghana",2020-04-17,0,8
"36","Ghana",2020-04-18,193,8
"37","Ghana",2020-04-19,208,9
"38","Ghana",2020-04-20,0,9
"39","Ghana",2020-04-21,0,9
"40","Ghana",2020-04-22,112,9
"41","Ghana",2020-04-23,0,9
"42","Ghana",2020-04-24,125,9
"43","Ghana",2020-04-25,0,9
"44","Ghana",2020-04-26,271,10
"45","Ghana",2020-04-27,0,10
"46","Ghana",2020-04-28,121,10
"47","Ghana",2020-04-29,0,10
"48","Ghana",2020-04-30,403,10
"49","Ghana",2020-05-01,0,10
"50","Ghana",2020-05-02,95,10
"51","Ghana",2020-05-03,0,11
"52","Ghana",2020-05-04,550,11
"53","Ghana",2020-05-05,0,11
"54","Ghana",2020-05-06,372,11
"55","Ghana",2020-05-07,0,11
"56","Ghana",2020-05-08,921,11
"57","Ghana",2020-05-09,251,11
"58","Ghana",2020-05-10,0,12
"59","Ghana",2020-05-11,437,12
"60","Ghana",2020-05-12,427,12
"61","Ghana",2020-05-13,281,12
"62","Ghana",2020-05-14,122,12
"63","Ghana",2020-05-15,108,12
"64","Ghana",2020-05-16,97,12
"65","Ghana",2020-05-17,0,13
"66","Ghana",2020-05-18,0,13
"67","Ghana",2020-05-19,361,13
"68","Ghana",2020-05-20,173,13
"69","Ghana",2020-05-21,0,13
"70","Ghana",2020-05-22,217,13
"71","Ghana",2020-05-23,131,13
"72","Ghana",2020-05-24,66,14
"73","Ghana",2020-05-25,125,14
"74","Ghana",2020-05-26,309,14
"75","Ghana",2020-05-27,186,14
"76","Ghana",2020-05-28,0,14
"77","Ghana",2020-05-29,313,14
"78","Ghana",2020-05-30,152,14
"79","Ghana",2020-05-31,302,15
"80","Ghana",2020-06-01,0,15
"81","Ghana",2020-06-02,227,15
"82","Ghana",2020-06-03,251,15
"83","Ghana",2020-06-04,337,15
"84","Ghana",2020-06-05,283,15
"85","Ghana",2020-06-06,294,15
"86","Ghana",2020-06-07,176,16
"87","Ghana",2020-06-08,272,16
"88","Ghana",2020-06-09,291,16
"89","Ghana",2020-06-10,0,16
"90","Ghana",2020-06-11,157,16
"91","Ghana",2020-06-12,498,16
"92","Ghana",2020-06-13,262,16
"93","Ghana",2020-06-14,846,17
"94","Ghana",2020-06-15,0,17
"95","Ghana",2020-06-16,229,17
"96","Ghana",2020-06-17,397,17
"97","Ghana",2020-06-18,339,17
"98","Ghana",2020-06-19,274,17
"99","Ghana",2020-06-20,514,17
"100","Ghana",2020-06-21,437,18
"101","Ghana",2020-06-22,0,18
"102","Ghana",2020-06-23,414,18
"103","Ghana",2020-06-24,445,18
"104","Ghana",2020-06-25,460,18
"105","Ghana",2020-06-26,361,18
"106","Ghana",2020-06-27,597,18
"107","Ghana",2020-06-28,311,19
"108","Ghana",2020-06-29,609,19
"109","Ghana",2020-06-30,390,19
"110","Ghana",2020-07-01,393,19
"111","Ghana",2020-07-02,0,19
"112","Ghana",2020-07-03,1254,19
"113","Ghana",2020-07-04,0,19
"114","Ghana",2020-07-05,697,20
"115","Ghana",2020-07-06,992,20
"116","Ghana",2020-07-07,891,20
"117","Ghana",2020-07-08,854,20
"118","Ghana",2020-07-09,641,20
"119","Ghana",2020-07-10,371,20
"120","Ghana",2020-07-11,414,20
"121","Ghana",2020-07-12,270,21
"122","Ghana",2020-07-13,470,21
"123","Ghana",2020-07-14,0,21
"124","Ghana",2020-07-15,442,21
"125","Ghana",2020-07-16,695,21
"126","Ghana",2020-07-17,447,21
"127","Ghana",2020-07-18,488,21
"128","Ghana",2020-07-19,607,22
"129","Ghana",2020-07-20,763,22
"130","Ghana",2020-07-21,559,22
"131","Ghana",2020-07-22,683,22
"132","Ghana",2020-07-23,0,22
"133","Ghana",2020-07-24,1385,22
"134","Ghana",2020-07-25,794,22
"135","Ghana",2020-07-26,1118,23
"136","Ghana",2020-07-27,655,23
"137","Ghana",2020-07-28,782,23
"138","Ghana",2020-07-29,736,23
"139","Ghana",2020-07-30,0,23
"140","Ghana",2020-07-31,359,23
"141","Ghana",2020-08-01,1513,23
"142","Ghana",2020-08-02,0,24
"143","Ghana",2020-08-03,798,24
"144","Ghana",2020-08-04,0,24
"145","Ghana",2020-08-05,1263,24
"146","Ghana",2020-08-06,567,24
"147","Ghana",2020-08-07,455,24
"148","Ghana",2020-08-08,436,24
"149","Ghana",2020-08-09,470,25
"150","Ghana",2020-08-10,209,25
"151","Ghana",2020-08-11,192,25
"152","Ghana",2020-08-12,168,25
"153","Ghana",2020-08-13,153,25
"154","Ghana",2020-08-14,122,25
"155","Ghana",2020-08-15,363,25
"156","Ghana",2020-08-16,322,26
"157","Ghana",2020-08-17,121,26
"158","Ghana",2020-08-18,340,26
"159","Ghana",2020-08-19,101,26
"160","Ghana",2020-08-20,166,26
"161","Ghana",2020-08-21,65,26
