,"code","continent","country","date","total_cases","new_cases","epiweek"
"1","NGA","Africa","Nigeria",2020-02-28,1,1,1
"2","NGA","Africa","Nigeria",2020-02-29,1,0,1
"3","NGA","Africa","Nigeria",2020-03-01,1,0,2
"4","NGA","Africa","Nigeria",2020-03-02,1,0,2
"5","NGA","Africa","Nigeria",2020-03-03,1,0,2
"6","NGA","Africa","Nigeria",2020-03-04,1,0,2
"7","NGA","Africa","Nigeria",2020-03-05,1,0,2
"8","NGA","Africa","Nigeria",2020-03-06,1,0,2
"9","NGA","Africa","Nigeria",2020-03-07,1,0,2
"10","NGA","Africa","Nigeria",2020-03-08,1,0,3
"11","NGA","Africa","Nigeria",2020-03-09,2,1,3
"12","NGA","Africa","Nigeria",2020-03-10,2,0,3
"13","NGA","Africa","Nigeria",2020-03-11,2,0,3
"14","NGA","Africa","Nigeria",2020-03-12,2,0,3
"15","NGA","Africa","Nigeria",2020-03-13,2,0,3
"16","NGA","Africa","Nigeria",2020-03-14,2,0,3
"17","NGA","Africa","Nigeria",2020-03-15,2,0,4
"18","NGA","Africa","Nigeria",2020-03-16,2,0,4
"19","NGA","Africa","Nigeria",2020-03-17,3,1,4
"20","NGA","Africa","Nigeria",2020-03-18,8,5,4
"21","NGA","Africa","Nigeria",2020-03-19,8,0,4
"22","NGA","Africa","Nigeria",2020-03-20,12,4,4
"23","NGA","Africa","Nigeria",2020-03-21,22,10,4
"24","NGA","Africa","Nigeria",2020-03-22,30,8,5
"25","NGA","Africa","Nigeria",2020-03-23,40,10,5
"26","NGA","Africa","Nigeria",2020-03-24,44,4,5
"27","NGA","Africa","Nigeria",2020-03-25,51,7,5
"28","NGA","Africa","Nigeria",2020-03-26,65,14,5
"29","NGA","Africa","Nigeria",2020-03-27,70,5,5
"30","NGA","Africa","Nigeria",2020-03-28,89,19,5
"31","NGA","Africa","Nigeria",2020-03-29,111,22,6
"32","NGA","Africa","Nigeria",2020-03-30,131,20,6
"33","NGA","Africa","Nigeria",2020-03-31,135,4,6
"34","NGA","Africa","Nigeria",2020-04-01,174,39,6
"35","NGA","Africa","Nigeria",2020-04-02,184,10,6
"36","NGA","Africa","Nigeria",2020-04-03,210,26,6
"37","NGA","Africa","Nigeria",2020-04-04,214,4,6
"38","NGA","Africa","Nigeria",2020-04-05,232,18,7
"39","NGA","Africa","Nigeria",2020-04-06,238,6,7
"40","NGA","Africa","Nigeria",2020-04-07,254,16,7
"41","NGA","Africa","Nigeria",2020-04-08,276,22,7
"42","NGA","Africa","Nigeria",2020-04-09,288,12,7
"43","NGA","Africa","Nigeria",2020-04-10,305,17,7
"44","NGA","Africa","Nigeria",2020-04-11,318,13,7
"45","NGA","Africa","Nigeria",2020-04-12,323,5,8
"46","NGA","Africa","Nigeria",2020-04-13,343,20,8
"47","NGA","Africa","Nigeria",2020-04-14,373,30,8
"48","NGA","Africa","Nigeria",2020-04-15,407,34,8
"49","NGA","Africa","Nigeria",2020-04-16,442,35,8
"50","NGA","Africa","Nigeria",2020-04-17,493,51,8
"51","NGA","Africa","Nigeria",2020-04-18,542,49,8
"52","NGA","Africa","Nigeria",2020-04-19,627,85,9
"53","NGA","Africa","Nigeria",2020-04-20,665,38,9
"54","NGA","Africa","Nigeria",2020-04-21,665,0,9
"55","NGA","Africa","Nigeria",2020-04-22,873,208,9
"56","NGA","Africa","Nigeria",2020-04-23,981,108,9
"57","NGA","Africa","Nigeria",2020-04-24,1095,114,9
"58","NGA","Africa","Nigeria",2020-04-25,1182,87,9
"59","NGA","Africa","Nigeria",2020-04-26,1273,91,10
"60","NGA","Africa","Nigeria",2020-04-27,1337,64,10
"61","NGA","Africa","Nigeria",2020-04-28,1532,195,10
"62","NGA","Africa","Nigeria",2020-04-29,1728,196,10
"63","NGA","Africa","Nigeria",2020-04-30,1932,204,10
"64","NGA","Africa","Nigeria",2020-05-01,2170,238,10
"65","NGA","Africa","Nigeria",2020-05-02,2388,218,10
"66","NGA","Africa","Nigeria",2020-05-03,2558,170,11
"67","NGA","Africa","Nigeria",2020-05-04,2802,244,11
"68","NGA","Africa","Nigeria",2020-05-05,2950,148,11
"69","NGA","Africa","Nigeria",2020-05-06,3145,195,11
"70","NGA","Africa","Nigeria",2020-05-07,3526,381,11
"71","NGA","Africa","Nigeria",2020-05-08,3912,386,11
"72","NGA","Africa","Nigeria",2020-05-09,4151,239,11
"73","NGA","Africa","Nigeria",2020-05-10,4399,248,12
"74","NGA","Africa","Nigeria",2020-05-11,4641,242,12
"75","NGA","Africa","Nigeria",2020-05-12,4787,146,12
"76","NGA","Africa","Nigeria",2020-05-13,4971,184,12
"77","NGA","Africa","Nigeria",2020-05-14,5162,191,12
"78","NGA","Africa","Nigeria",2020-05-15,5450,288,12
"79","NGA","Africa","Nigeria",2020-05-16,5621,171,12
"80","NGA","Africa","Nigeria",2020-05-17,5959,338,13
"81","NGA","Africa","Nigeria",2020-05-18,6175,216,13
"82","NGA","Africa","Nigeria",2020-05-19,6401,226,13
"83","NGA","Africa","Nigeria",2020-05-20,6677,276,13
"84","NGA","Africa","Nigeria",2020-05-21,7016,339,13
"85","NGA","Africa","Nigeria",2020-05-22,7261,245,13
"86","NGA","Africa","Nigeria",2020-05-23,7526,265,13
"87","NGA","Africa","Nigeria",2020-05-24,7839,313,14
"88","NGA","Africa","Nigeria",2020-05-25,8068,229,14
"89","NGA","Africa","Nigeria",2020-05-26,8344,276,14
"90","NGA","Africa","Nigeria",2020-05-27,8733,389,14
"91","NGA","Africa","Nigeria",2020-05-28,8915,182,14
"92","NGA","Africa","Nigeria",2020-05-29,9302,387,14
"93","NGA","Africa","Nigeria",2020-05-30,9855,553,14
"94","NGA","Africa","Nigeria",2020-05-31,10162,307,15
"95","NGA","Africa","Nigeria",2020-06-01,10578,416,15
"96","NGA","Africa","Nigeria",2020-06-02,10819,241,15
"97","NGA","Africa","Nigeria",2020-06-03,11166,347,15
"98","NGA","Africa","Nigeria",2020-06-04,11516,350,15
"99","NGA","Africa","Nigeria",2020-06-05,11844,328,15
"100","NGA","Africa","Nigeria",2020-06-06,12233,389,15
"101","NGA","Africa","Nigeria",2020-06-07,12486,253,16
"102","NGA","Africa","Nigeria",2020-06-08,12801,315,16
"103","NGA","Africa","Nigeria",2020-06-09,13464,663,16
"104","NGA","Africa","Nigeria",2020-06-10,13873,409,16
"105","NGA","Africa","Nigeria",2020-06-11,14554,681,16
"106","NGA","Africa","Nigeria",2020-06-12,15181,627,16
"107","NGA","Africa","Nigeria",2020-06-13,15682,501,16
"108","NGA","Africa","Nigeria",2020-06-14,16085,403,17
"109","NGA","Africa","Nigeria",2020-06-15,16658,573,17
"110","NGA","Africa","Nigeria",2020-06-16,17148,490,17
"111","NGA","Africa","Nigeria",2020-06-17,17735,587,17
"112","NGA","Africa","Nigeria",2020-06-18,18480,745,17
"113","NGA","Africa","Nigeria",2020-06-19,19147,667,17
"114","NGA","Africa","Nigeria",2020-06-20,19808,661,17
"115","NGA","Africa","Nigeria",2020-06-21,20244,436,18
"116","NGA","Africa","Nigeria",2020-06-22,20919,675,18
"117","NGA","Africa","Nigeria",2020-06-23,21371,452,18
"118","NGA","Africa","Nigeria",2020-06-24,22020,649,18
"119","NGA","Africa","Nigeria",2020-06-25,22614,594,18
"120","NGA","Africa","Nigeria",2020-06-26,23298,684,18
"121","NGA","Africa","Nigeria",2020-06-27,24077,779,18
"122","NGA","Africa","Nigeria",2020-06-28,24567,490,19
"123","NGA","Africa","Nigeria",2020-06-29,25133,566,19
"124","NGA","Africa","Nigeria",2020-06-30,25694,561,19
"125","NGA","Africa","Nigeria",2020-07-01,26484,790,19
"126","NGA","Africa","Nigeria",2020-07-02,27110,626,19
"127","NGA","Africa","Nigeria",2020-07-03,27564,454,19
"128","NGA","Africa","Nigeria",2020-07-04,28167,603,19
"129","NGA","Africa","Nigeria",2020-07-05,28711,544,20
"130","NGA","Africa","Nigeria",2020-07-06,29286,575,20
"131","NGA","Africa","Nigeria",2020-07-07,29789,503,20
"132","NGA","Africa","Nigeria",2020-07-08,30249,460,20
"133","NGA","Africa","Nigeria",2020-07-09,30748,499,20
"134","NGA","Africa","Nigeria",2020-07-10,31323,575,20
"135","NGA","Africa","Nigeria",2020-07-11,31987,664,20
"136","NGA","Africa","Nigeria",2020-07-12,32558,571,21
"137","NGA","Africa","Nigeria",2020-07-13,33153,595,21
"138","NGA","Africa","Nigeria",2020-07-14,33616,463,21
"139","NGA","Africa","Nigeria",2020-07-15,34259,643,21
"140","NGA","Africa","Nigeria",2020-07-16,34854,595,21
"141","NGA","Africa","Nigeria",2020-07-17,35454,600,21
"142","NGA","Africa","Nigeria",2020-07-18,36107,653,21
"143","NGA","Africa","Nigeria",2020-07-19,36663,556,22
"144","NGA","Africa","Nigeria",2020-07-20,37225,562,22
"145","NGA","Africa","Nigeria",2020-07-21,37801,576,22
"146","NGA","Africa","Nigeria",2020-07-22,38344,543,22
"147","NGA","Africa","Nigeria",2020-07-23,38948,604,22
"148","NGA","Africa","Nigeria",2020-07-24,39539,591,22
"149","NGA","Africa","Nigeria",2020-07-25,39977,438,22
"150","NGA","Africa","Nigeria",2020-07-26,40532,555,23
"151","NGA","Africa","Nigeria",2020-07-27,41180,648,23
"152","NGA","Africa","Nigeria",2020-07-28,41804,624,23
"153","NGA","Africa","Nigeria",2020-07-29,42208,404,23
"154","NGA","Africa","Nigeria",2020-07-30,42689,481,23
"155","NGA","Africa","Nigeria",2020-07-31,43151,462,23
"156","NGA","Africa","Nigeria",2020-08-01,43537,386,23
"157","NGA","Africa","Nigeria",2020-08-02,43841,304,24
"158","NGA","Africa","Nigeria",2020-08-03,44129,288,24
"159","NGA","Africa","Nigeria",2020-08-04,44433,304,24
"160","NGA","Africa","Nigeria",2020-08-05,44890,457,24
"161","NGA","Africa","Nigeria",2020-08-06,45244,354,24
"162","NGA","Africa","Nigeria",2020-08-07,45687,443,24
"163","NGA","Africa","Nigeria",2020-08-08,46140,453,24
"164","NGA","Africa","Nigeria",2020-08-09,46577,437,25
"165","NGA","Africa","Nigeria",2020-08-10,46867,290,25
"166","NGA","Africa","Nigeria",2020-08-11,47290,423,25
"167","NGA","Africa","Nigeria",2020-08-12,47743,453,25
"168","NGA","Africa","Nigeria",2020-08-13,48116,373,25
"169","NGA","Africa","Nigeria",2020-08-14,48445,329,25
"170","NGA","Africa","Nigeria",2020-08-15,48770,325,25
"171","NGA","Africa","Nigeria",2020-08-16,49068,298,26
"172","NGA","Africa","Nigeria",2020-08-17,49485,417,26
"173","NGA","Africa","Nigeria",2020-08-18,49895,410,26
"174","NGA","Africa","Nigeria",2020-08-19,50488,593,26
"175","NGA","Africa","Nigeria",2020-08-20,50964,476,26
"176","NGA","Africa","Nigeria",2020-08-21,51304,340,26
"177","NGA","Africa","Nigeria",2020-08-22,51905,601,26
"178","NGA","Africa","Nigeria",2020-08-23,52227,322,27
"179","NGA","Africa","Nigeria",2020-08-24,52548,321,27
"180","NGA","Africa","Nigeria",2020-08-25,52800,252,27
"181","NGA","Africa","Nigeria",2020-08-26,53021,221,27
"182","NGA","Africa","Nigeria",2020-08-27,53317,296,27
"183","NGA","Africa","Nigeria",2020-08-28,53477,160,27
"184","NGA","Africa","Nigeria",2020-08-29,53727,250,27
"185","NGA","Africa","Nigeria",2020-08-30,53865,138,28
"186","NGA","Africa","Nigeria",2020-08-31,54008,143,28
"187","NGA","Africa","Nigeria",2020-09-01,54247,239,28
"188","NGA","Africa","Nigeria",2020-09-02,54463,216,28
"189","NGA","Africa","Nigeria",2020-09-03,54588,125,28
"190","NGA","Africa","Nigeria",2020-09-04,54743,155,28
"191","NGA","Africa","Nigeria",2020-09-05,54905,162,28
"192","NGA","Africa","Nigeria",2020-09-06,55005,100,29
"193","NGA","Africa","Nigeria",2020-09-07,55160,155,29
"194","NGA","Africa","Nigeria",2020-09-08,55456,296,29
"195","NGA","Africa","Nigeria",2020-09-09,55632,176,29
"196","NGA","Africa","Nigeria",2020-09-10,55829,197,29
"197","NGA","Africa","Nigeria",2020-09-11,56017,188,29
"198","NGA","Africa","Nigeria",2020-09-12,56177,160,29
"199","NGA","Africa","Nigeria",2020-09-13,56256,79,30
"200","NGA","Africa","Nigeria",2020-09-14,56388,132,30
"201","NGA","Africa","Nigeria",2020-09-15,56478,90,30
"202","NGA","Africa","Nigeria",2020-09-16,56604,126,30
"203","NGA","Africa","Nigeria",2020-09-17,56735,131,30
"204","NGA","Africa","Nigeria",2020-09-18,56956,221,30
"205","NGA","Africa","Nigeria",2020-09-19,57145,189,30
"206","NGA","Africa","Nigeria",2020-09-20,57242,97,31
"207","NGA","Africa","Nigeria",2020-09-21,57437,195,31
"208","NGA","Africa","Nigeria",2020-09-22,57613,176,31
"209","NGA","Africa","Nigeria",2020-09-23,57724,111,31
"210","NGA","Africa","Nigeria",2020-09-24,57849,125,31
"211","NGA","Africa","Nigeria",2020-09-25,58062,213,31
"212","NGA","Africa","Nigeria",2020-09-26,58198,136,31
"213","NGA","Africa","Nigeria",2020-09-27,58324,126,32
"214","NGA","Africa","Nigeria",2020-09-28,58460,136,32
"215","NGA","Africa","Nigeria",2020-09-29,58647,187,32
"216","NGA","Africa","Nigeria",2020-09-30,58848,201,32
"217","NGA","Africa","Nigeria",2020-10-01,59001,153,32
"218","NGA","Africa","Nigeria",2020-10-02,59127,126,32
"219","NGA","Africa","Nigeria",2020-10-03,59287,160,32
"220","NGA","Africa","Nigeria",2020-10-04,59345,58,33
"221","NGA","Africa","Nigeria",2020-10-05,59465,120,33
"222","NGA","Africa","Nigeria",2020-10-06,59583,118,33
"223","NGA","Africa","Nigeria",2020-10-07,59738,155,33
"224","NGA","Africa","Nigeria",2020-10-08,59841,103,33
"225","NGA","Africa","Nigeria",2020-10-09,59992,151,33
"226","NGA","Africa","Nigeria",2020-10-10,60103,111,33
"227","NGA","Africa","Nigeria",2020-10-11,60266,163,34
"228","NGA","Africa","Nigeria",2020-10-12,60430,164,34
"229","NGA","Africa","Nigeria",2020-10-13,60655,225,34
"230","NGA","Africa","Nigeria",2020-10-14,60834,179,34
"231","NGA","Africa","Nigeria",2020-10-15,60982,148,34
"232","NGA","Africa","Nigeria",2020-10-16,61194,212,34
"233","NGA","Africa","Nigeria",2020-10-17,61307,113,34
"234","NGA","Africa","Nigeria",2020-10-18,61440,133,35
"235","NGA","Africa","Nigeria",2020-10-19,61558,118,35
"236","NGA","Africa","Nigeria",2020-10-20,61630,72,35
"237","NGA","Africa","Nigeria",2020-10-21,61667,37,35
"238","NGA","Africa","Nigeria",2020-10-22,61805,138,35
"239","NGA","Africa","Nigeria",2020-10-23,61882,77,35
"240","NGA","Africa","Nigeria",2020-10-24,61930,48,35
"241","NGA","Africa","Nigeria",2020-10-25,61992,62,36
"242","NGA","Africa","Nigeria",2020-10-26,62111,119,36
"243","NGA","Africa","Nigeria",2020-10-27,62224,113,36
"244","NGA","Africa","Nigeria",2020-10-28,62371,147,36
"245","NGA","Africa","Nigeria",2020-10-29,62521,150,36
"246","NGA","Africa","Nigeria",2020-10-30,62691,170,36
"247","NGA","Africa","Nigeria",2020-10-31,62853,162,36
"248","NGA","Africa","Nigeria",2020-11-01,62964,111,37
"249","NGA","Africa","Nigeria",2020-11-02,63036,72,37
"250","NGA","Africa","Nigeria",2020-11-03,63173,137,37
"251","NGA","Africa","Nigeria",2020-11-04,63328,155,37
"252","NGA","Africa","Nigeria",2020-11-05,63508,180,37
"253","NGA","Africa","Nigeria",2020-11-06,63731,223,37
"254","NGA","Africa","Nigeria",2020-11-07,63790,59,37
"255","NGA","Africa","Nigeria",2020-11-08,64090,300,38
"256","NGA","Africa","Nigeria",2020-11-09,64184,94,38
"257","NGA","Africa","Nigeria",2020-11-10,64336,152,38
"258","NGA","Africa","Nigeria",2020-11-11,64516,180,38
"259","NGA","Africa","Nigeria",2020-11-12,64728,212,38
"260","NGA","Africa","Nigeria",2020-11-13,64884,156,38
"261","NGA","Africa","Nigeria",2020-11-14,64996,112,38
"262","NGA","Africa","Nigeria",2020-11-15,65148,152,39
"263","NGA","Africa","Nigeria",2020-11-16,65305,157,39
"264","NGA","Africa","Nigeria",2020-11-17,65457,152,39
"265","NGA","Africa","Nigeria",2020-11-18,65693,236,39
"266","NGA","Africa","Nigeria",2020-11-19,65839,146,39
"267","NGA","Africa","Nigeria",2020-11-20,65982,143,39
"268","NGA","Africa","Nigeria",2020-11-21,66228,246,39
"269","NGA","Africa","Nigeria",2020-11-22,66383,155,40
"270","NGA","Africa","Nigeria",2020-11-23,66439,56,40
"271","NGA","Africa","Nigeria",2020-11-24,66607,168,40
"272","NGA","Africa","Nigeria",2020-11-25,66805,198,40
"273","NGA","Africa","Nigeria",2020-11-26,66974,169,40
"274","NGA","Africa","Nigeria",2020-11-27,67220,246,40
"275","NGA","Africa","Nigeria",2020-11-28,67330,110,40
"276","NGA","Africa","Nigeria",2020-11-29,67412,82,41
"277","NGA","Africa","Nigeria",2020-11-30,67557,145,41
"278","NGA","Africa","Nigeria",2020-12-01,67838,281,41
