,"country","date","new_cases","epiweek"
"1","South Africa",2020-02-27,0,1
"2","South Africa",2020-02-28,0,1
"3","South Africa",2020-02-29,0,1
"4","South Africa",2020-03-01,0,2
"5","South Africa",2020-03-02,0,2
"6","South Africa",2020-03-03,0,2
"7","South Africa",2020-03-04,0,2
"8","South Africa",2020-03-05,1,2
"9","South Africa",2020-03-06,0,2
"10","South Africa",2020-03-07,0,2
"11","South Africa",2020-03-08,2,3
"12","South Africa",2020-03-09,0,3
"13","South Africa",2020-03-10,4,3
"14","South Africa",2020-03-11,6,3
"15","South Africa",2020-03-12,4,3
"16","South Africa",2020-03-13,7,3
"17","South Africa",2020-03-14,14,3
"18","South Africa",2020-03-15,13,4
"19","South Africa",2020-03-16,11,4
"20","South Africa",2020-03-17,0,4
"21","South Africa",2020-03-18,54,4
"22","South Africa",2020-03-19,34,4
"23","South Africa",2020-03-20,52,4
"24","South Africa",2020-03-21,38,4
"25","South Africa",2020-03-22,34,5
"26","South Africa",2020-03-23,128,5
"27","South Africa",2020-03-24,152,5
"28","South Africa",2020-03-25,155,5
"29","South Africa",2020-03-26,218,5
"30","South Africa",2020-03-27,243,5
"31","South Africa",2020-03-28,17,5
"32","South Africa",2020-03-29,93,6
"33","South Africa",2020-03-30,46,6
"34","South Africa",2020-03-31,27,6
"35","South Africa",2020-04-01,27,6
"36","South Africa",2020-04-02,82,6
"37","South Africa",2020-04-03,43,6
"38","South Africa",2020-04-04,80,6
"39","South Africa",2020-04-05,70,7
"40","South Africa",2020-04-06,31,7
"41","South Africa",2020-04-07,63,7
"42","South Africa",2020-04-08,96,7
"43","South Africa",2020-04-09,89,7
"44","South Africa",2020-04-10,69,7
"45","South Africa",2020-04-11,25,7
"46","South Africa",2020-04-12,145,8
"47","South Africa",2020-04-13,99,8
"48","South Africa",2020-04-14,143,8
"49","South Africa",2020-04-15,91,8
"50","South Africa",2020-04-16,99,8
"51","South Africa",2020-04-17,178,8
"52","South Africa",2020-04-18,251,8
"53","South Africa",2020-04-19,124,9
"54","South Africa",2020-04-20,142,9
"55","South Africa",2020-04-21,165,9
"56","South Africa",2020-04-22,170,9
"57","South Africa",2020-04-23,318,9
"58","South Africa",2020-04-24,267,9
"59","South Africa",2020-04-25,141,9
"60","South Africa",2020-04-26,185,10
"61","South Africa",2020-04-27,247,10
"62","South Africa",2020-04-28,203,10
"63","South Africa",2020-04-29,354,10
"64","South Africa",2020-04-30,297,10
"65","South Africa",2020-05-01,304,10
"66","South Africa",2020-05-02,385,10
"67","South Africa",2020-05-03,447,11
"68","South Africa",2020-05-04,437,11
"69","South Africa",2020-05-05,352,11
"70","South Africa",2020-05-06,236,11
"71","South Africa",2020-05-07,424,11
"72","South Africa",2020-05-08,663,11
"73","South Africa",2020-05-09,525,11
"74","South Africa",2020-05-10,595,12
"75","South Africa",2020-05-11,637,12
"76","South Africa",2020-05-12,698,12
"77","South Africa",2020-05-13,724,12
"78","South Africa",2020-05-14,665,12
"79","South Africa",2020-05-15,785,12
"80","South Africa",2020-05-16,831,12
"81","South Africa",2020-05-17,1160,13
"82","South Africa",2020-05-18,918,13
"83","South Africa",2020-05-19,767,13
"84","South Africa",2020-05-20,803,13
"85","South Africa",2020-05-21,1134,13
"86","South Africa",2020-05-22,988,13
"87","South Africa",2020-05-23,1218,13
"88","South Africa",2020-05-24,1240,14
"89","South Africa",2020-05-25,1032,14
"90","South Africa",2020-05-26,649,14
"91","South Africa",2020-05-27,1673,14
"92","South Africa",2020-05-28,1466,14
"93","South Africa",2020-05-29,1837,14
"94","South Africa",2020-05-30,1727,14
"95","South Africa",2020-05-31,1716,15
"96","South Africa",2020-06-01,1674,15
"97","South Africa",2020-06-02,1455,15
"98","South Africa",2020-06-03,1713,15
"99","South Africa",2020-06-04,3267,15
"100","South Africa",2020-06-05,2642,15
"101","South Africa",2020-06-06,2539,15
"102","South Africa",2020-06-07,2312,16
"103","South Africa",2020-06-08,2594,16
"104","South Africa",2020-06-09,2112,16
"105","South Africa",2020-06-10,2430,16
