,"country","date","new_cases","epiweek"
"1","United Arab Emirates",2020-02-27,0,1
"2","United Arab Emirates",2020-02-28,6,1
"3","United Arab Emirates",2020-02-29,2,1
"4","United Arab Emirates",2020-03-01,0,2
"5","United Arab Emirates",2020-03-02,0,2
"6","United Arab Emirates",2020-03-03,6,2
"7","United Arab Emirates",2020-03-04,0,2
"8","United Arab Emirates",2020-03-05,2,2
"9","United Arab Emirates",2020-03-06,0,2
"10","United Arab Emirates",2020-03-07,16,2
"11","United Arab Emirates",2020-03-08,0,3
"12","United Arab Emirates",2020-03-09,0,3
"13","United Arab Emirates",2020-03-10,29,3
"14","United Arab Emirates",2020-03-11,0,3
"15","United Arab Emirates",2020-03-12,11,3
"16","United Arab Emirates",2020-03-13,0,3
"17","United Arab Emirates",2020-03-14,0,3
"18","United Arab Emirates",2020-03-15,13,4
"19","United Arab Emirates",2020-03-16,0,4
"20","United Arab Emirates",2020-03-17,0,4
"21","United Arab Emirates",2020-03-18,15,4
"22","United Arab Emirates",2020-03-19,27,4
"23","United Arab Emirates",2020-03-20,0,4
"24","United Arab Emirates",2020-03-21,13,4
"25","United Arab Emirates",2020-03-22,0,5
"26","United Arab Emirates",2020-03-23,45,5
"27","United Arab Emirates",2020-03-24,50,5
"28","United Arab Emirates",2020-03-25,85,5
"29","United Arab Emirates",2020-03-26,0,5
"30","United Arab Emirates",2020-03-27,72,5
"31","United Arab Emirates",2020-03-28,63,5
"32","United Arab Emirates",2020-03-29,102,6
"33","United Arab Emirates",2020-03-30,41,6
"34","United Arab Emirates",2020-03-31,53,6
"35","United Arab Emirates",2020-04-01,150,6
"36","United Arab Emirates",2020-04-02,210,6
"37","United Arab Emirates",2020-04-03,240,6
"38","United Arab Emirates",2020-04-04,241,6
"39","United Arab Emirates",2020-04-05,294,7
"40","United Arab Emirates",2020-04-06,277,7
"41","United Arab Emirates",2020-04-07,283,7
"42","United Arab Emirates",2020-04-08,300,7
"43","United Arab Emirates",2020-04-09,331,7
"44","United Arab Emirates",2020-04-10,370,7
"45","United Arab Emirates",2020-04-11,376,7
"46","United Arab Emirates",2020-04-12,387,8
"47","United Arab Emirates",2020-04-13,398,8
"48","United Arab Emirates",2020-04-14,412,8
"49","United Arab Emirates",2020-04-15,432,8
"50","United Arab Emirates",2020-04-16,460,8
"51","United Arab Emirates",2020-04-17,477,8
"52","United Arab Emirates",2020-04-18,0,8
"53","United Arab Emirates",2020-04-19,479,9
"54","United Arab Emirates",2020-04-20,484,9
"55","United Arab Emirates",2020-04-21,490,9
"56","United Arab Emirates",2020-04-22,483,9
"57","United Arab Emirates",2020-04-23,518,9
"58","United Arab Emirates",2020-04-24,525,9
"59","United Arab Emirates",2020-04-25,532,9
"60","United Arab Emirates",2020-04-26,536,10
"61","United Arab Emirates",2020-04-27,490,10
"62","United Arab Emirates",2020-04-28,541,10
"63","United Arab Emirates",2020-04-29,549,10
"64","United Arab Emirates",2020-04-30,552,10
"65","United Arab Emirates",2020-05-01,557,10
"66","United Arab Emirates",2020-05-02,561,10
"67","United Arab Emirates",2020-05-03,564,11
"68","United Arab Emirates",2020-05-04,567,11
"69","United Arab Emirates",2020-05-05,462,11
"70","United Arab Emirates",2020-05-06,546,11
"71","United Arab Emirates",2020-05-07,502,11
"72","United Arab Emirates",2020-05-08,553,11
"73","United Arab Emirates",2020-05-09,624,11
"74","United Arab Emirates",2020-05-10,781,12
"75","United Arab Emirates",2020-05-11,680,12
"76","United Arab Emirates",2020-05-12,783,12
"77","United Arab Emirates",2020-05-13,725,12
"78","United Arab Emirates",2020-05-14,698,12
"79","United Arab Emirates",2020-05-15,747,12
"80","United Arab Emirates",2020-05-16,796,12
"81","United Arab Emirates",2020-05-17,731,13
"82","United Arab Emirates",2020-05-18,832,13
"83","United Arab Emirates",2020-05-19,873,13
"84","United Arab Emirates",2020-05-20,941,13
"85","United Arab Emirates",2020-05-21,894,13
"86","United Arab Emirates",2020-05-22,994,13
"87","United Arab Emirates",2020-05-23,812,13
"88","United Arab Emirates",2020-05-24,781,14
"89","United Arab Emirates",2020-05-25,822,14
"90","United Arab Emirates",2020-05-26,779,14
"91","United Arab Emirates",2020-05-27,883,14
"92","United Arab Emirates",2020-05-28,563,14
"93","United Arab Emirates",2020-05-29,638,14
"94","United Arab Emirates",2020-05-30,726,14
"95","United Arab Emirates",2020-05-31,661,15
"96","United Arab Emirates",2020-06-01,635,15
"97","United Arab Emirates",2020-06-02,596,15
"98","United Arab Emirates",2020-06-03,571,15
"99","United Arab Emirates",2020-06-04,659,15
"100","United Arab Emirates",2020-06-05,624,15
"101","United Arab Emirates",2020-06-06,626,15
"102","United Arab Emirates",2020-06-07,540,16
"103","United Arab Emirates",2020-06-08,568,16
"104","United Arab Emirates",2020-06-09,528,16
"105","United Arab Emirates",2020-06-10,603,16
"106","United Arab Emirates",2020-06-11,479,16
"107","United Arab Emirates",2020-06-12,513,16
"108","United Arab Emirates",2020-06-13,491,16
"109","United Arab Emirates",2020-06-14,304,17
"110","United Arab Emirates",2020-06-15,342,17
"111","United Arab Emirates",2020-06-16,346,17
"112","United Arab Emirates",2020-06-17,382,17
"113","United Arab Emirates",2020-06-18,388,17
"114","United Arab Emirates",2020-06-19,393,17
"115","United Arab Emirates",2020-06-20,388,17
"116","United Arab Emirates",2020-06-21,392,18
"117","United Arab Emirates",2020-06-22,378,18
"118","United Arab Emirates",2020-06-23,380,18
"119","United Arab Emirates",2020-06-24,450,18
"120","United Arab Emirates",2020-06-25,430,18
"121","United Arab Emirates",2020-06-26,410,18
"122","United Arab Emirates",2020-06-27,387,18
"123","United Arab Emirates",2020-06-28,437,19
"124","United Arab Emirates",2020-06-29,449,19
"125","United Arab Emirates",2020-06-30,421,19
"126","United Arab Emirates",2020-07-01,402,19
"127","United Arab Emirates",2020-07-02,400,19
"128","United Arab Emirates",2020-07-03,672,19
"129","United Arab Emirates",2020-07-04,716,19
"130","United Arab Emirates",2020-07-05,683,20
"131","United Arab Emirates",2020-07-06,528,20
"132","United Arab Emirates",2020-07-07,532,20
"133","United Arab Emirates",2020-07-08,445,20
"134","United Arab Emirates",2020-07-09,532,20
"135","United Arab Emirates",2020-07-10,473,20
"136","United Arab Emirates",2020-07-11,403,20
"137","United Arab Emirates",2020-07-12,401,21
"138","United Arab Emirates",2020-07-13,344,21
"139","United Arab Emirates",2020-07-14,375,21
"140","United Arab Emirates",2020-07-15,275,21
"141","United Arab Emirates",2020-07-16,281,21
"142","United Arab Emirates",2020-07-17,293,21
"143","United Arab Emirates",2020-07-18,289,21
"144","United Arab Emirates",2020-07-19,211,22
"145","United Arab Emirates",2020-07-20,271,22
"146","United Arab Emirates",2020-07-21,305,22
"147","United Arab Emirates",2020-07-22,236,22
"148","United Arab Emirates",2020-07-23,254,22
"149","United Arab Emirates",2020-07-24,261,22
"150","United Arab Emirates",2020-07-25,313,22
"151","United Arab Emirates",2020-07-26,351,23
"152","United Arab Emirates",2020-07-27,264,23
"153","United Arab Emirates",2020-07-28,369,23
"154","United Arab Emirates",2020-07-29,375,23
"155","United Arab Emirates",2020-07-30,302,23
"156","United Arab Emirates",2020-07-31,283,23
"157","United Arab Emirates",2020-08-01,254,23
"158","United Arab Emirates",2020-08-02,239,24
"159","United Arab Emirates",2020-08-03,164,24
"160","United Arab Emirates",2020-08-04,189,24
"161","United Arab Emirates",2020-08-05,254,24
"162","United Arab Emirates",2020-08-06,239,24
"163","United Arab Emirates",2020-08-07,216,24
"164","United Arab Emirates",2020-08-08,239,24
"165","United Arab Emirates",2020-08-09,225,25
